Order ID,Order Date,Ship Date,Ship Mode,Customer ID,SubTotal,RegionID
CA-2014-104178,8/25/2014,8/29/2014,Standard Class,JM-15265,6.28,2
CA-2014-104269,03/01/2014,03/06/2014,Second Class,DB-13060,457.568,1
CA-2014-104283,6/27/2014,07/01/2014,Standard Class,LM-17065,306.2,2
CA-2014-104402,6/17/2014,6/23/2014,Standard Class,DB-13660,65.97,2
CA-2014-104472,06/02/2014,06/07/2014,Standard Class,CK-12325,59.808,1
CA-2014-104563,03/07/2014,03/12/2014,Standard Class,CM-12715,20.65,3
CA-2014-104738,12/30/2014,01/01/2015,Second Class,SP-20620,12.984,2
CA-2014-104773,12/08/2014,12/13/2014,Standard Class,TB-21175,60.416,3
CA-2014-104780,5/21/2014,5/25/2014,Standard Class,BT-11530,31.84,1
CA-2014-104808,02/04/2014,02/08/2014,Second Class,MH-17440,17.248,2
CA-2014-104829,11/18/2014,11/21/2014,Second Class,JG-15805,21.98,2
CA-2014-104976,12/09/2014,12/16/2014,Standard Class,CK-12760,34.68,2
CA-2014-105165,09/07/2014,09/10/2014,First Class,SZ-20035,196.776,1
CA-2014-105172,04/04/2014,04/09/2014,Standard Class,PK-18910,18.9,2
CA-2014-105249,11/28/2014,11/28/2014,Same Day,DH-13675,7.36,2
CA-2014-105270,11/11/2014,11/18/2014,Standard Class,AP-10915,30.48,4
CA-2014-105340,11/22/2014,11/25/2014,First Class,EH-14185,6.928,4
CA-2014-105417,01/07/2014,01/12/2014,Standard Class,VS-21820,76.728,1
CA-2014-105648,03/03/2014,03/07/2014,Standard Class,EJ-14155,626.352,4
CA-2014-105872,5/30/2014,06/06/2014,Standard Class,JG-15160,70.368,1
CA-2014-105893,11/11/2014,11/18/2014,Standard Class,PK-19075,665.88,3
CA-2014-105984,11/24/2014,11/24/2014,Same Day,MY-18295,1049.97,3
CA-2014-106054,01/06/2014,01/07/2014,First Class,JO-15145,12.78,2
CA-2014-106229,06/07/2014,06/11/2014,Second Class,NR-18550,268.935,3
CA-2014-106264,12/26/2014,12/30/2014,Standard Class,CK-12595,11.91,2
CA-2014-106376,12/05/2014,12/10/2014,Standard Class,BS-11590,1113.024,1
CA-2014-106439,10/31/2014,11/04/2014,Standard Class,GG-14650,11.34,4
CA-2014-106572,09/05/2014,09/10/2014,Standard Class,NP-18700,264.32,1
CA-2014-106719,8/24/2014,8/24/2014,Same Day,RB-19645,8.288,1
CA-2014-106726,12/06/2014,12/08/2014,First Class,RS-19765,1261.33,2
CA-2014-106803,12/29/2014,01/02/2015,Standard Class,DC-13285,24.56,3
CA-2014-106810,5/14/2014,5/20/2014,Standard Class,AJ-10795,310.88,4
CA-2014-106971,09/02/2014,09/08/2014,Standard Class,BM-11785,475.944,2
CA-2014-107139,07/05/2014,07/11/2014,Standard Class,DP-13390,180.96,3
CA-2014-107153,9/28/2014,10/03/2014,Standard Class,GZ-14545,46.26,2
CA-2014-107181,02/04/2014,02/08/2014,Standard Class,DB-13270,82.896,1
CA-2014-107398,8/25/2014,8/30/2014,Standard Class,BS-11590,6.528,1
CA-2014-107454,11/02/2014,11/06/2014,Standard Class,RD-19720,34.86,4
CA-2014-107524,03/02/2014,03/08/2014,Standard Class,KN-16705,11.36,1
CA-2014-107573,12/12/2014,12/17/2014,Standard Class,PB-19150,23.472,1
CA-2014-107594,07/02/2014,07/06/2014,Standard Class,EH-13945,73.98,1
CA-2014-107706,2/14/2014,2/19/2014,Second Class,ST-20530,16.176,2
CA-2014-107755,02/07/2014,02/12/2014,Standard Class,CK-12760,115.36,2
CA-2014-107769,10/28/2014,11/01/2014,Standard Class,BT-11395,257.98,3
CA-2014-107811,4/29/2014,05/03/2014,Standard Class,LA-16780,561.584,3
CA-2014-107818,09/08/2014,9/14/2014,Standard Class,MC-17275,5.88,4
CA-2014-107916,8/24/2014,8/26/2014,First Class,JP-15460,13.28,2
CA-2014-108147,06/08/2014,6/13/2014,Standard Class,RD-19480,68.48,1
CA-2014-108182,02/06/2014,02/10/2014,Second Class,DL-13315,8.952,2
CA-2014-108189,10/02/2014,10/05/2014,First Class,ES-14080,9.408,4
CA-2014-108273,12/16/2014,12/21/2014,Standard Class,EJ-13720,36.288,1
CA-2014-108609,10/31/2014,11/02/2014,Second Class,AJ-10780,1421.664,4
CA-2014-108707,10/24/2014,10/29/2014,Standard Class,DB-12910,10.368,4
CA-2014-108861,5/28/2014,06/01/2014,Standard Class,MM-17260,136.96,2
CA-2014-108903,10/03/2014,10/03/2014,Same Day,DO-13435,55.984,4
CA-2014-109043,8/15/2014,8/17/2014,First Class,CS-12355,91.36,4
CA-2014-109127,12/21/2014,12/25/2014,Standard Class,JC-15775,17.28,3
CA-2014-109134,11/05/2014,11/10/2014,Standard Class,DE-13255,20.04,2
CA-2014-109218,6/30/2014,07/03/2014,Second Class,AR-10825,32.4,1
CA-2014-109232,1/13/2014,1/16/2014,Second Class,ND-18370,545.94,4
CA-2014-109302,08/12/2014,8/16/2014,Standard Class,CS-12175,196.21,4
CA-2014-109491,2/20/2014,2/26/2014,Standard Class,LC-16930,62.31,3
CA-2014-109680,10/06/2014,10/09/2014,First Class,VP-21760,386.34,1
CA-2014-109855,09/01/2014,09/05/2014,Standard Class,LH-16900,23.744,2
CA-2014-109890,7/21/2014,7/27/2014,Standard Class,PG-18820,35.98,1
CA-2014-109897,08/12/2014,8/16/2014,Standard Class,BW-11200,806.336,4
CA-2014-109904,7/14/2014,7/17/2014,Second Class,BF-10975,17.94,4
CA-2014-109918,09/07/2014,09/12/2014,Second Class,LR-17035,27.36,2
CA-2014-109932,12/09/2014,12/11/2014,First Class,VP-21760,10.688,1
CA-2014-110030,12/06/2014,12/08/2014,Second Class,LF-17185,23.976,4
CA-2014-110065,08/05/2014,08/11/2014,Standard Class,SP-20650,135.99,1
CA-2014-110072,10/22/2014,10/28/2014,Standard Class,MG-17680,93.888,2
CA-2014-110100,4/25/2014,4/29/2014,Standard Class,LC-16885,302.376,1
CA-2014-110184,07/12/2014,7/16/2014,Standard Class,BF-11170,249.75,1
CA-2014-110219,05/05/2014,05/08/2014,First Class,EB-13870,127.869,1
CA-2014-110352,11/23/2014,11/29/2014,Standard Class,ED-13885,23.68,1
CA-2014-110408,10/18/2014,10/20/2014,Second Class,AS-10225,275.97,2
CA-2014-110422,1/21/2014,1/23/2014,Second Class,TB-21400,25.248,1
CA-2014-110527,08/09/2014,8/16/2014,Standard Class,ED-13885,20.88,1
CA-2014-110555,04/11/2014,4/18/2014,Standard Class,MM-18055,87.08,1
CA-2014-110611,10/06/2014,10/13/2014,Standard Class,JD-16015,83.92,3
CA-2014-110639,8/23/2014,8/23/2014,Same Day,RH-19495,25.92,3
CA-2014-110786,12/29/2014,01/02/2015,Standard Class,AJ-10795,24.9,4
CA-2014-110849,4/18/2014,4/23/2014,Standard Class,JL-15835,287.968,1
CA-2014-111003,06/01/2014,06/06/2014,Standard Class,CR-12625,45.48,2
CA-2014-111059,02/03/2014,02/06/2014,Second Class,TB-21400,83.84,1
CA-2014-111150,12/31/2014,01/04/2015,Standard Class,RW-19630,29.68,3
CA-2014-111157,03/02/2014,03/06/2014,Standard Class,NH-18610,3.424,3
CA-2014-111192,7/30/2014,08/05/2014,Standard Class,TS-21430,1367.84,1
CA-2014-111360,11/24/2014,11/30/2014,Standard Class,AT-10435,5.742,1
CA-2014-111451,12/26/2014,12/28/2014,First Class,KL-16555,300.416,1
CA-2014-111500,8/17/2014,8/21/2014,Standard Class,DJ-13510,114.2,4
CA-2014-111773,6/29/2014,07/03/2014,Standard Class,JK-15625,13.92,1
CA-2014-111857,4/23/2014,4/26/2014,Second Class,NM-18445,48.91,2
CA-2014-111871,3/18/2014,3/21/2014,Second Class,EK-13795,1198.33,1
CA-2014-111899,05/04/2014,05/05/2014,First Class,NC-18340,37.84,3
CA-2014-111934,05/05/2014,05/07/2014,First Class,GD-14590,11.88,2
CA-2014-111962,9/29/2014,10/04/2014,Standard Class,EB-14170,10.048,4
CA-2014-112158,12/02/2014,12/04/2014,First Class,DP-13165,119.96,2
CA-2014-112291,04/03/2014,04/08/2014,Standard Class,KE-16420,11.16,4
CA-2014-112326,01/04/2014,01/08/2014,Standard Class,PO-19195,11.784,3
CA-2014-112403,3/31/2014,3/31/2014,Same Day,JO-15280,0.852,1
CA-2014-112718,12/16/2014,12/21/2014,Standard Class,KN-16450,1.167,4
CA-2014-112837,09/11/2014,9/16/2014,Standard Class,LW-17125,127.95,2
CA-2014-112851,9/17/2014,9/21/2014,Standard Class,NR-18550,182.94,3
CA-2014-113047,10/24/2014,10/24/2014,Same Day,AP-10915,11.85,4
CA-2014-113166,12/24/2014,12/26/2014,First Class,LF-17185,9.568,4
CA-2014-113257,12/16/2014,12/18/2014,Second Class,SC-20305,319.968,3
CA-2014-113271,07/09/2014,7/14/2014,Standard Class,DS-13030,14.304,1
CA-2014-113320,12/12/2014,12/15/2014,Second Class,LH-17155,12.54,1
CA-2014-113362,9/14/2014,9/19/2014,Standard Class,AJ-10960,449.15,2
CA-2014-113383,09/10/2014,9/13/2014,First Class,SF-20065,81.92,2
CA-2014-113579,12/13/2014,12/15/2014,Second Class,KD-16345,90.24,1
CA-2014-113768,5/13/2014,5/19/2014,Standard Class,AH-10030,279.456,2
CA-2014-113859,9/13/2014,9/17/2014,Standard Class,BC-11125,340.116,1
CA-2014-113880,03/01/2014,03/05/2014,Standard Class,VF-21715,634.116,3
CA-2014-113887,04/05/2014,04/07/2014,First Class,TH-21550,55.48,2
CA-2014-113929,6/16/2014,6/21/2014,Standard Class,CK-12205,41.4,2
CA-2014-113964,9/23/2014,9/30/2014,Standard Class,JP-16135,18.464,4
CA-2014-114125,07/09/2014,7/13/2014,Standard Class,GH-14410,2.88,1
CA-2014-114181,05/10/2014,5/14/2014,Second Class,AF-10885,349.965,4
CA-2014-114195,11/01/2014,11/03/2014,First Class,EA-14035,68.704,4
CA-2014-114251,11/05/2014,11/10/2014,Standard Class,MD-17350,273.568,4
CA-2014-114314,10/11/2014,10/15/2014,Standard Class,DB-13555,7.31,4
CA-2014-114321,8/20/2014,8/25/2014,Standard Class,NC-18535,500.24,3
CA-2014-114335,9/28/2014,10/03/2014,Standard Class,XP-21865,337.088,1
CA-2014-114433,5/13/2014,5/17/2014,Standard Class,NP-18325,149.97,4
CA-2014-114510,3/14/2014,3/19/2014,Standard Class,JF-15295,33.088,1
CA-2014-114517,12/23/2014,12/27/2014,Standard Class,TH-21235,53.316,3
CA-2014-114643,6/13/2014,6/17/2014,Standard Class,FM-14215,14.52,2
CA-2014-114790,03/11/2014,3/13/2014,Second Class,FM-14215,146.76,2
CA-2014-115049,9/26/2014,10/01/2014,Standard Class,MM-17920,153.824,1
CA-2014-115056,05/02/2014,05/02/2014,Same Day,AR-10510,26.136,2
CA-2014-115084,10/18/2014,10/22/2014,Standard Class,LS-17200,605.34,3
CA-2014-115133,9/26/2014,9/30/2014,Standard Class,DA-13450,16.704,3
CA-2014-115161,1/31/2014,02/02/2014,First Class,LC-17050,290.666,1
CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,40.096,2
CA-2014-115336,11/18/2014,11/25/2014,Standard Class,AB-10600,14.48,1
CA-2014-115357,08/06/2014,08/11/2014,Second Class,RF-19735,62.91,3
CA-2014-115791,1/16/2014,1/18/2014,Second Class,DL-13315,127.104,2
CA-2014-115812,06/09/2014,6/14/2014,Standard Class,BH-11710,48.86,1
CA-2014-115889,11/02/2014,11/06/2014,Standard Class,SH-20395,46.384,4
CA-2014-115973,11/24/2014,11/26/2014,First Class,NG-18430,2.624,2
CA-2014-115980,7/15/2014,7/19/2014,Standard Class,VW-21775,2.97,2
CA-2014-116190,7/26/2014,08/01/2014,Standard Class,SG-20470,67.88,2
CA-2014-116239,03/04/2014,03/04/2014,Same Day,CL-12565,354.9,3
CA-2014-116246,09/12/2014,9/17/2014,Second Class,LW-17215,3785.292,1
CA-2014-116407,11/15/2014,11/21/2014,Standard Class,JF-15190,4.224,1
CA-2014-116568,12/14/2014,12/20/2014,Standard Class,BM-11785,186.304,2
CA-2014-116666,05/08/2014,05/10/2014,First Class,KT-16480,1799.97,2
CA-2014-116673,12/15/2014,12/19/2014,Second Class,JO-15280,6.16,1
CA-2014-116757,6/30/2014,07/04/2014,Standard Class,MS-17980,25.92,3
CA-2014-116785,4/26/2014,4/30/2014,Standard Class,MH-17290,21.4,1
CA-2014-116834,10/11/2014,10/16/2014,Standard Class,Dp-13240,63.47,1
CA-2014-116904,9/23/2014,9/28/2014,Standard Class,SC-20095,32.4,1
CA-2014-116932,7/21/2014,7/25/2014,Standard Class,ME-18010,99.2,1
CA-2014-117016,03/04/2014,03/09/2014,Standard Class,SC-20095,15.552,1
CA-2014-117317,10/19/2014,10/19/2014,Same Day,JF-15490,13.44,1
CA-2014-117345,08/01/2014,08/05/2014,Standard Class,BF-10975,17.544,4
CA-2014-117429,10/07/2014,10/13/2014,Standard Class,MR-17545,129.92,2
CA-2014-117464,7/22/2014,7/24/2014,Second Class,NP-18325,11.52,4
CA-2014-117478,9/21/2014,9/24/2014,First Class,LH-16750,6.57,4
CA-2014-117639,5/21/2014,5/25/2014,Standard Class,MW-18235,2715.93,4
CA-2014-117709,05/04/2014,05/08/2014,Standard Class,PM-18940,46.8,3
CA-2014-117765,09/07/2014,9/13/2014,Standard Class,RB-19465,429.9,3
CA-2014-118192,1/13/2014,1/18/2014,Standard Class,MM-17920,37.408,1
CA-2014-118276,12/29/2014,01/02/2015,Standard Class,MG-17890,8.736,2
CA-2014-118304,4/29/2014,05/04/2014,Standard Class,KH-16360,19.98,2
CA-2014-118339,3/17/2014,3/24/2014,Standard Class,BN-11515,93.78,1
CA-2014-118962,08/05/2014,08/09/2014,Standard Class,CS-12130,20.94,1
CA-2014-118976,4/28/2014,05/03/2014,Standard Class,MY-18295,20.86,3
CA-2014-119032,11/27/2014,12/03/2014,Standard Class,MS-17770,3.76,2
CA-2014-119144,11/16/2014,11/18/2014,First Class,JD-16150,79.968,3
CA-2014-119151,11/25/2014,11/29/2014,Second Class,MP-18175,1117.92,1
CA-2014-119172,05/11/2014,5/15/2014,Standard Class,HD-14785,17.472,2
CA-2014-119375,11/17/2014,11/22/2014,Standard Class,YC-21895,2934.33,1
CA-2014-119466,12/15/2014,12/21/2014,Standard Class,SP-20860,8.544,2
CA-2014-119529,11/03/2014,11/05/2014,Second Class,DM-13345,5.76,4
CA-2014-119977,10/08/2014,10/13/2014,Second Class,DN-13690,123.92,1
CA-2014-120096,07/04/2014,07/07/2014,First Class,KE-16420,177.536,4
CA-2014-120243,12/27/2014,12/30/2014,Second Class,AT-10435,11.56,1
CA-2014-120278,11/07/2014,11/12/2014,Standard Class,MS-17365,245.88,3
CA-2014-120411,9/20/2014,9/23/2014,First Class,SB-20185,493.43,2
CA-2014-120432,8/24/2014,8/26/2014,Second Class,DW-13585,25.5,2
CA-2014-120474,12/01/2014,12/03/2014,First Class,RP-19390,2807.84,2
CA-2014-120544,11/23/2014,11/27/2014,Standard Class,SS-20140,6.368,2
CA-2014-120670,11/02/2014,11/06/2014,Standard Class,JK-16120,799.92,3
CA-2014-120768,12/19/2014,12/21/2014,Second Class,IM-15070,152.76,1
CA-2014-120775,10/03/2014,10/07/2014,Standard Class,RD-19930,4.344,3
CA-2014-120838,3/23/2014,3/26/2014,Second Class,PO-18865,330.4,3
CA-2014-120852,12/20/2014,12/25/2014,Standard Class,WB-21850,19.432,2
CA-2014-120887,9/27/2014,10/03/2014,Standard Class,TS-21205,87.54,2
CA-2014-120950,11/06/2014,11/11/2014,Standard Class,GA-14515,43.68,1
CA-2014-121006,11/10/2014,11/16/2014,Standard Class,SC-20020,3.9,3
CA-2014-121167,11/28/2014,11/30/2014,Second Class,MO-17500,17.248,2
CA-2014-121286,11/04/2014,11/08/2014,Second Class,ON-18715,8.376,3
CA-2014-121573,11/03/2014,11/07/2014,Standard Class,SG-20605,783.96,2
CA-2014-121629,11/28/2014,12/02/2014,Standard Class,BT-11680,998.85,2
CA-2014-121664,05/06/2014,05/10/2014,Standard Class,HP-14815,140.736,3
CA-2014-121727,8/19/2014,8/24/2014,Standard Class,JK-15625,10.72,1
CA-2014-121762,2/14/2014,2/18/2014,Standard Class,ML-17395,239.97,1
CA-2014-121769,04/08/2014,04/12/2014,Standard Class,JS-15880,172.11,1
CA-2014-122070,4/22/2014,4/24/2014,Second Class,AH-10030,247.84,2
CA-2014-122217,11/24/2014,11/29/2014,Standard Class,HP-14815,111.15,3
CA-2014-122336,4/13/2014,4/17/2014,Second Class,JD-15895,17.856,2
CA-2014-122567,2/16/2014,2/21/2014,Standard Class,MN-17935,1.08,3
CA-2014-122588,11/25/2014,11/27/2014,Second Class,AR-10540,52.96,2
CA-2014-122609,11/12/2014,11/18/2014,Standard Class,DP-13000,25.128,3
CA-2014-122679,7/22/2014,7/28/2014,Standard Class,AB-10255,19.68,2
CA-2014-122749,12/03/2014,12/09/2014,Standard Class,NG-18430,479.96,2
CA-2014-122882,09/07/2014,9/13/2014,Standard Class,SB-20290,64.784,3
CA-2014-122931,9/29/2014,10/03/2014,Standard Class,SM-20950,4.224,4
CA-2014-123064,6/30/2014,07/02/2014,First Class,RA-19915,5.248,3
CA-2014-123127,09/08/2014,09/12/2014,Standard Class,SP-20620,16.78,2
CA-2014-123225,07/11/2014,7/14/2014,First Class,MN-17935,575.968,3
CA-2014-123253,8/22/2014,8/25/2014,Second Class,DE-13255,3.912,2
CA-2014-123260,8/26/2014,8/30/2014,Standard Class,FM-14290,176.8,1
CA-2014-123295,7/18/2014,7/18/2014,Same Day,AH-10120,259.136,1
CA-2014-123316,10/13/2014,10/17/2014,Standard Class,SP-20545,7.752,2
CA-2014-123323,11/07/2014,11/12/2014,Standard Class,LH-16900,123.144,2
CA-2014-123344,9/24/2014,9/29/2014,Standard Class,JD-16060,211.96,1
CA-2014-123400,02/02/2014,02/09/2014,Standard Class,EB-13930,18.336,1
CA-2014-123477,1/18/2014,1/21/2014,Second Class,DW-13195,64.864,3
CA-2014-123498,11/07/2014,11/09/2014,First Class,TC-20980,26.046,1
CA-2014-123855,6/18/2014,6/23/2014,Standard Class,MC-18100,139.8,3
CA-2014-123925,12/17/2014,12/19/2014,Second Class,RF-19840,40.05,2
CA-2014-124023,04/07/2014,04/10/2014,First Class,PJ-19015,8.96,1
CA-2014-124079,12/13/2014,12/17/2014,Standard Class,RF-19345,87.96,2
CA-2014-124247,12/16/2014,12/21/2014,Standard Class,SH-20635,1403.92,4
CA-2014-124394,10/17/2014,10/22/2014,Second Class,TB-21520,10.78,2
CA-2014-124429,5/27/2014,5/27/2014,Same Day,MH-17785,567.12,2
CA-2014-124464,7/14/2014,7/20/2014,Standard Class,SS-20515,39.48,4
CA-2014-124478,08/08/2014,08/12/2014,Standard Class,MA-17560,549.99,3
CA-2014-124513,9/21/2014,9/25/2014,Standard Class,SL-20155,66.03,4
CA-2014-124618,05/02/2014,05/04/2014,Second Class,CS-11860,479.984,4
CA-2014-124646,6/22/2014,6/24/2014,First Class,DV-13465,501.81,1
CA-2014-124688,8/27/2014,8/29/2014,First Class,CC-12610,579.95,2
CA-2014-124702,11/18/2014,11/25/2014,Standard Class,MH-17785,137.54,2
CA-2014-124709,7/27/2014,7/29/2014,Second Class,GW-14605,238,1
CA-2014-124723,08/05/2014,08/12/2014,Standard Class,GZ-14470,489.23,3
CA-2014-124730,11/26/2014,11/26/2014,Same Day,LS-17245,279.96,3
CA-2014-124737,8/23/2014,8/27/2014,Standard Class,AP-10915,15.552,4
CA-2014-124807,07/12/2014,7/15/2014,Second Class,ME-17725,35.856,1
CA-2014-124856,9/29/2014,10/03/2014,Second Class,LD-17005,1395.54,1
CA-2014-125136,9/28/2014,10/03/2014,Standard Class,KD-16495,96.256,2
CA-2014-125150,5/16/2014,5/23/2014,Standard Class,PW-19030,232.88,4
CA-2014-125171,09/03/2014,09/03/2014,Same Day,AG-10390,14.4,2
CA-2014-125514,9/21/2014,9/22/2014,First Class,BM-11650,25.96,2
CA-2014-125542,12/05/2014,12/07/2014,First Class,NB-18655,348.488,3
CA-2014-125556,11/14/2014,11/16/2014,Second Class,ML-17410,832.93,2
CA-2014-125612,08/03/2014,08/08/2014,Standard Class,BK-11260,39.96,2
CA-2014-125682,11/22/2014,11/25/2014,First Class,RB-19645,9.96,1
CA-2014-125731,09/10/2014,9/16/2014,Standard Class,CL-12565,21.728,3
CA-2014-125759,02/08/2014,02/09/2014,First Class,NM-18445,14.56,2
CA-2014-125829,11/04/2014,11/11/2014,Standard Class,WB-21850,666.344,2
CA-2014-125997,9/20/2014,9/23/2014,First Class,MW-18220,629.95,2
CA-2014-126032,6/23/2014,6/28/2014,Standard Class,BS-11665,86.376,2
CA-2014-126193,09/07/2014,9/14/2014,Standard Class,SS-20410,13.16,1
CA-2014-126200,8/25/2014,8/29/2014,Standard Class,JE-15715,25.68,1
CA-2014-126277,9/13/2014,9/18/2014,Second Class,LH-16900,2.502,2
CA-2014-126333,12/23/2014,12/28/2014,Standard Class,ME-18010,5.184,1
CA-2014-126361,08/04/2014,08/09/2014,Second Class,VD-21670,1089.75,4
CA-2014-126403,09/09/2014,09/12/2014,Second Class,RR-19525,166.44,2
CA-2014-126480,9/20/2014,9/24/2014,Standard Class,HG-14965,8.56,1
CA-2014-126522,09/01/2014,09/05/2014,Second Class,LT-16765,53.94,1
CA-2014-126683,9/29/2014,10/01/2014,Second Class,PP-18955,6.16,4
CA-2014-126760,7/26/2014,08/02/2014,Standard Class,KM-16720,911.984,1
CA-2014-126802,12/29/2014,01/05/2015,Standard Class,ZC-21910,38.976,1
CA-2014-126907,11/01/2014,11/08/2014,Standard Class,SM-20950,15.696,4
CA-2014-126963,6/15/2014,6/15/2014,Same Day,PS-18760,36.544,1
CA-2014-127012,08/11/2014,8/15/2014,Standard Class,GM-14680,12.35,1
CA-2014-127131,11/24/2014,11/30/2014,Standard Class,HR-14830,12.096,1
CA-2014-127159,05/12/2014,5/15/2014,First Class,HL-15040,34.79,3
CA-2014-127166,5/21/2014,5/23/2014,Second Class,KH-16360,56.064,2
CA-2014-127187,12/04/2014,12/08/2014,Standard Class,CP-12085,129.98,2
CA-2014-127299,9/19/2014,9/24/2014,Standard Class,JL-15835,67.344,1
CA-2014-127383,12/31/2014,01/05/2015,Standard Class,CM-11815,49.568,3
CA-2014-127446,11/25/2014,11/30/2014,Standard Class,MC-17590,24.672,2
CA-2014-127488,9/22/2014,9/24/2014,Second Class,MS-17365,4.608,3
CA-2014-127523,05/11/2014,5/18/2014,Standard Class,BG-11695,35.91,2
CA-2014-127558,11/15/2014,11/18/2014,First Class,SS-20410,10.11,1
CA-2014-127586,9/26/2014,9/30/2014,Standard Class,CS-12400,310.12,3
